Asteroid Collected       Position                     Size                 Distance
10                        (75,90)                        4.8                181.342
6                        (80,80)                        3.4                11.1803
16                        (74,70)                        4.5                11.6619
11                        (85,60)                        8.7                14.8661
8                        (90,35)                        9.2                25.4951
9                        (100,30)                       12.8                11.1803
3                        (74,20)                        3.5                27.8568
1                        (60,10)                        5.6                17.2047
0                        (40,5)                        3.8                20.6155
2                        (13,15)                          4                28.7924
5                        (14,50)                        7.5                35.0143
17                        (25,50)                          4                     11
13                        (30,65)                        9.1                15.8114
4                        (36,70)                          8                7.81025
14                        (45,85)                        6.8                17.4929
15                        (36,100)                        3.9                17.4929
18                        (28,90)                        7.4                12.8062
7                        (0,75)                        2.8                31.7648
12                        (50,50)                        3.6                55.9017
19 Asteroids collected
Total distance555.29
